NumID,Type,ItemOrd,Response,Std,Flex = 56,FlexCode,RespSec,ReadSec
11464571,1,1,ear wax remover,ear cleaner,tool,113,28.647,17.878
11464571,1,1,remove stuff from ils,il cleaner,sharp,118,,17.878
11464571,1,2,wrap items,wrapping paper,cover,213,110.856,1.179
11464571,1,2,recycle it,recycle,fuel,218,163.727,1.179
11464571,1,2,read it,read,read,211,168.881,1.179
11464571,1,3,brush teeth,brush teeth,dental health,311,9.706,11.489
11464571,1,3,clean floors,clean floor,clean,312,13.666,11.489
11464571,1,3,clean items,clean,clean,312,16.25,11.489
11505443,2,1,pizza box,pizza box,container,122,44.091,201.486
11505443,2,1,die,dice,game,126,51.098,201.486
11505443,2,1,floor tile,tile,flat,121,55.562,201.486
11505443,2,2,bullock cart,bullock cart,push/pull,224,7.906,2.441
11505443,2,2,horse cart,horse cart,push/pull,224,15.487,2.441
11505443,2,2,cars,car,vehicle,221,19.005,2.441
11505443,2,2,motorcycles,motorcycle,vehicle,221,37.057,2.441
11505443,2,2,trucks,truck,vehicle,221,171.036,2.441
11505443,2,2,trains,train,transit,223,176.617,2.441
11505443,2,3,iron,iron,material,321,2.526,1.773
11505443,2,3,mountain,mountain,ture,326,6.491,1.773
11505443,2,3,hammer,hammer,move,327,165.269,1.773
11852797,2,1,window,window,structural,123,24.824,21.58
11852797,2,1,book,book,flat,121,48.442,21.58
11852797,2,2,Bicycle,bicycle,human,222,9.129,21.504
11852797,2,2,Motorcycle,motorcycle,vehicle,221,17.382,21.504
11852797,2,2,Auto,automobile,vehicle,221,25.108,21.504
11852797,2,2,Car,car,vehicle,221,29.143,21.504
11852797,2,2,Bus,bus,transit,223,31.935,21.504
11852797,2,2,Truck,truck,vehicle,221,35.733,21.504
11852797,2,2,JCB,JCB,vehicle,221,44.346,21.504
11852797,2,2,Roller Skates,roller skate,human,222,64.869,21.504
11852797,2,3,Lion,lion,animal,323,4.932,6.669
11852797,2,3,Tiger,tiger,animal,323,8.134,6.669
11852797,2,3,Elephant,elephant,animal,323,12.108,6.669
11852797,2,3,Crocodile,crocodile,animal,323,16.752,6.669
11852797,2,3,Brocklesner,Brock Lesner,person,322,29.058,6.669
11852797,2,3,Iron,iron,material,321,48.598,6.669
11972263,2,1,tv,tv,technology,124,54.436,38.914
11972263,2,1,box,box,container,122,,38.914
11972263,2,1,table,table,structural,123,,38.914
11972263,2,2,cycle,cycle,vehicle,221,32.616,1.758
11972263,2,2,car,car,vehicle,221,,1.758
11972263,2,2,train,train,transit,223,,1.758
11972263,2,2,scooter,scooter,human,222,,1.758
11972263,2,2,chair,chair,mobile,225,,1.758
11972263,2,3,rock,rock,material,321,33.816,3.566
11972263,2,3,wind,wind,ture,326,64.688,3.566
11972263,2,3,air,air,ture,326,,3.566
11972263,2,3,waves,wave,ture,326,,3.566
11972263,2,3,iron,iron,material,321,,3.566
11972263,2,3,wood,wood,material,321,,3.566
12335104,3,1,two roads coming together,converging roads,perspective,133,,13.14
12335104,3,1,an arrow to bear right,right turn sign,symbol,135,,13.14
12335104,3,3,four speace to place andwers on a test,text boxes,symbol,334,,4.964
12510716,2,1, square things ,square things,shape,125,89.552,14.85
12736297,2,1,box,box,container,122,5.866,4.587
12736297,2,1,cube,cube,shape,125,9.316,4.587
12736297,2,2,car,car,vehicle,221,2.538,3.108
12736297,2,2,truck,truck,vehicle,221,5.319,3.108
12736297,2,2,bus,bus,transit,223,7.095,3.108
12736297,2,2,wagon,wagon,push/pull,224,10.597,3.108
12736297,2,2,wheelchair,wheelchair,human,222,15,3.108
12736297,2,3,bodybuilders,bodybuilder,person,322,5.523,1.713
12736297,2,3,steel,steel,material,321,7.757,1.713
12736297,2,3,jalapenos,jalapeno pepper,sensory,328,19.573,1.713
12741142,3,1,>,>,symbol,135,29.552,14.021
12741142,3,2,round,round,symbol,235,12.38,30.912
12741142,3,3,pox,pox,symbol,334,16.373,1.949
12741142,3,3,5,5,symbol,334,25.405,1.949
12741142,3,3,savvakam,savvakam,symbol,334,61.326,1.949
12842806,2,1,box,box,container,122,42.503,15.534
12842806,2,3,Wind ,wind,ture,326,38.226,7.014
12842806,2,3,wave,wave,ture,326,40.548,7.014
12842806,2,3,hammer,hammer,move,327,44.376,7.014
12931793,1,1,Invisible paper clips,Invisible paper clips,attribute,117,27.605,22.987
12931793,1,1,Thin paperclips,Thin paperclips,attribute,117,,22.987
12931793,1,1,reusable paperclips,reusable paperclips,attribute,117,,22.987
12931793,1,2,E news paper,e-newspaper,attribute,217,5.828,5.586
12931793,1,2,Renewable newspaper,renewable newspaper,attribute,217,17.878,5.586
12931793,1,2,Pocket news paper,pocket newspaper,attribute,217,35.418,5.586
12931793,1,3,vibrating tooth brsuh,vibrating toothbrush,dental health,311,10.254,3.141
12931793,1,3,Tooth brush which donot needs paste,toothpasteless toothbrush,dental health,311,37.51,3.141
13038476,3,1,Stapler,stapler,hinged,132,49.846,6.471
13038476,3,1,pacman,Pac-Man,mouth,131,,6.471
13038476,3,1,ruler,ruler,symbol,135,,6.471
13038476,3,2,pencil sharpener. ,pencil sharpener,holes,231,12.157,5.601
13038476,3,3,shelf,shelves,stacked,333,33.172,7.563
13139386,2,1,box,box,container,122,50.264,9.033
13139386,2,1,cellphone,cellphone,technology,124,70.372,9.033
13139386,2,1,book,book,flat,121,75.203,9.033
13139386,2,1,pillow,pillow,flat,121,76.948,9.033
13139386,2,1,book,book,flat,121,78.877,9.033
13139386,2,1,table,table,structural,123,80.416,9.033
13139386,2,2,bus,bus,transit,223,1.291,3.156
13139386,2,2,truck,truck,vehicle,221,2.763,3.156
13139386,2,2,car,car,vehicle,221,3.897,3.156
13139386,2,2,wheelbarrow,wheelbarrow,push/pull,224,8.178,3.156
13139386,2,2,trash can,trash can,mobile,225,11.108,3.156
13139386,2,2,wagon,wagon,push/pull,224,13.372,3.156
13139386,2,2,chair,chair,mobile,225,19.077,3.156
13139386,2,2,table,table,mobile,225,20.09,3.156
13139386,2,2,scooter,scooter,human,222,23.788,3.156
13139386,2,2,bicycle,bicycle,human,222,25.074,3.156
13139386,2,2,tricycle,tricycle,human,222,26.533,3.156
13139386,2,2,motorcyle,motorcycle,vehicle,221,28.64,3.156
13139386,2,2,skateboard,skateboard,human,222,33.017,3.156
13139386,2,2,roller skates,roller skate,human,222,38.259,3.156
13139386,2,2,hand truck,hand truck,push/pull,224,45.212,3.156
13139386,2,2,cart,cart,push/pull,224,48.895,3.156
13139386,2,3,steel,steel,material,321,2.014,2.441
13139386,2,3,people,people,person,322,3.835,2.441
13139386,2,3,smell,smell,sensory,328,19.616,2.441
13139386,2,3,taste,taste,sensory,328,21.232,2.441
13139386,2,3,animal (example: strong as an ox),animal,animal,323,42.541,2.441
13383223,1,1,biodegradeable paperclip,hold paper together,bind,111,,30.511
13383223,1,3,dissolving toothbrush for camping,camping toothbrush,dental health,311,,1.247
13826637,3,1,crooked traffic lines,traffic lines,perspective,133,22.592,4.305
13826637,3,1,bird's beak,beak,mouth,131,26.799,4.305
13826637,3,1,striped chopsticks,chopsticks,formation,134,31.175,4.305
13826637,3,1,cutting dots,cut lines,impression,137,35.856,4.305
13826637,3,1,drum sticks,drum sticks,formation,134,40.328,4.305
13826637,3,1,movie clapperboard,movie clapperboard,hinged,132,56.862,4.305
13826637,3,1,an arrow,arrow,symbol,135,92.223,4.305
13826637,3,1,tv antene,anten,impression,137,106.59,4.305
13826637,3,2,artist palatte,palette,above,232,5.042,3.421
13826637,3,2,amoeba,amoeba,above,232,8.355,3.421
13826637,3,2,a plate with food,plate with food,above,232,12.564,3.421
13826637,3,2,an art piece,art,symbol,235,16.115,3.421
13826637,3,2,the top of a pom pom hat,pom-pom hat,shape,234,26.242,3.421
13826637,3,2,a rounded dice,round die,holes,231,37.218,3.421
13826637,3,2,a pizza,pizza,above,232,40.154,3.421
13826637,3,2,a plate with meatballs,plate with meatballs,above,232,47.738,3.421
13826637,3,2,a collander,colander,holes,231,55.666,3.421
13826637,3,3,i ching,I-Ching,symbol,334,2.359,3.152
13826637,3,3,window blinds,blinds,structural,331,12.535,3.152
13826637,3,3,a grill,grill,stacked,333,14.648,3.152
13826637,3,3,crosswalk,crosswalk,above,332,24.085,3.152
13826637,3,3,sideway jailbars,jail,structural,331,34.647,3.152
13826637,3,3,a stack of levitating books,levitating books,stacked,333,47.951,3.152
13826637,3,3,the grille of a truck,grill of truck,stacked,333,54.711,3.152
13826637,3,3,a row of sticks,sticks,composition,336,64.471,3.152
14353752,3,1,flashlight,flashlight,physics,138,4.39,22.64
14353752,3,1,flock of birds,flock,formation,134,10.404,22.64
14353752,3,1,A wall,wall,perspective,133,18.456,22.64
14353752,3,1,a megaphone,megaphone,shape,140,30.191,22.64
14353752,3,1,a sign,sign,symbol,135,44.226,22.64
14353752,3,2,manhole cover,manhole,shape,234,6.815,10.452
14353752,3,2,brake rotor,brake rotor,shape,234,17.133,10.452
14353752,3,2,cartoon face,cartoon,face,233,30.204,10.452
14353752,3,2,a round dice,round die,holes,231,41.934,10.452
14353752,3,3,shelves,shelves,stacked,333,4.529,5.924
14353752,3,3,crosswalk,crosswalk,above,332,14.857,5.924
14353752,3,3,boards,boards,stacked,333,23.297,5.924
14353752,3,3,pipes,pipes,structural,331,32.855,5.924
15361664,3,1,ducks/geese flying,flock,formation,134,11.267,16.54
15361664,3,1,desks in a classroom,desks in classroom,formation,134,19.844,16.54
15361664,3,1,bushes in a yard,bushes in yard,formation,134,35.794,16.54
15361664,3,2,pepperoni pizza,pepperoni pizza,above,232,5.827,8.846
15361664,3,2,artist's pallette,palette,above,232,12.419,8.846
15361664,3,2,swiss cheese,Swiss cheese,holes,231,25.075,8.846
15361664,3,2,chocolate chip cookie,chocolate chip cookie,above,232,38.899,8.846
15361664,3,3,candy bars,candy bars,food,335,4.515,7.504
15361664,3,3,pretzel sticks,pretzels,objects,337,8.083,7.504
15361664,3,3,cheese sticks,cheese,food,335,11.715,7.504
15391664,2,1,television,tv,technology,124,26.247,18.045
15391664,2,1,gameboard,game board,game,126,29.197,18.045
15391664,2,1,chicken coop,chicken coop,structural,123,42.631,18.045
15391664,2,1,computer,computer,technology,124,56.839,18.045
15391664,2,2,skateboard,skateboard,human,222,4.323,9.151
15391664,2,2,car,car,vehicle,221,5.565,9.151
15391664,2,2,bicycle,bicycle,human,222,8.19,9.151
15391664,2,2,unicycle,unicycle,human,222,10.726,9.151
15391664,2,2,bus,bus,transit,223,13.76,9.151
15391664,2,2,trucks,truck,vehicle,221,21.6,9.151
15391664,2,2,wheelchair,wheelchair,human,222,33.44,9.151
15391664,2,2,train,train,transit,223,43.455,9.151
15391664,2,3,mothers,mother,person,322,2.729,18.163
15391664,2,3,fathers,father,person,322,4.216,18.163
15391664,2,3,veterans,veteran,person,322,6.329,18.163
15391664,2,3,heads of state,head of state,person,322,16.741,18.163
15391664,2,3,emergency responders,emergency responder,person,322,26.771,18.163
15391664,2,3,atheists,atheist,person,322,35.049,18.163
15391664,2,3,agnostics,agnostic,person,322,41.134,18.163
15391664,2,3,dogs,dog,animal,323,47.2,18.163
15515592,2,1,Tiffen Bon,Tiffen Bon,container,122,101.863,22.686
15515592,2,1,Cup board,cupboard,container,122,,22.686
15515592,2,1,fish tank,fish tank,container,122,,22.686
15515592,2,1,wall clock,clock,technology,124,,22.686
15515592,2,1,square bangle ,square bangle,flat,121,,22.686
15515592,2,3,Hammer,hammer,move,327,7.577,19.863
15515592,2,3,Train wheel,train wheel,structural,324,15.124,19.863
15515592,2,3,stone,stone,material,321,20.248,19.863
15515592,2,3,Wall,wall,structural,324,23.987,19.863
